epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.20656,1.8081,3.30693,0.93343,0.00455,0.44728,0.00573,0.00222,1.55921,4.04914,0.8657,0.000652174,0.000652174,0.000652174
2,17.9369,1.60622,1.81132,0.89587,0.02069,0.76997,0.18805,0.0909,1.55856,3.18017,0.8791,0.00105771,0.00105771,0.00105771
3,26.632,1.39881,1.4224,0.87991,0.83995,0.76289,0.86553,0.48536,1.36201,1.50423,0.86509,0.00119925,0.00119925,0.00119925
4,35.4359,1.29677,1.26054,0.86068,0.81166,0.8754,0.89163,0.53552,1.25665,0.91179,0.85006,0.000812,0.000812,0.000812
5,43.6897,1.22784,1.26557,0.84609,0.79945,0.88512,0.90115,0.54922,1.20563,0.82215,0.84725,0.000416,0.000416,0.000416
